Hi John. What camera you use?,0.0
u spend 21 hours a week eating?,0.0
your videos keep me so grounded,0.0
Who's not going to Havard and is here?,0.0
keep inspiring bro. Im currently in my first year of university of computer science too here in italy and im struggling a lot. But since i start to watch your video i start to be more organized and i start breaking more bad habit. Once again keep inspiring bro.,-0.2484
To understand all of these lessons so early on in school and life is extremely important and like you said a blessing. I have students who are in their late 30's to 50's and are just realizing what they want out of life so thank you for sharing these lessons. I too am so thankful college lead me to youtube too this truly is such a great opportunity to make a huge impact!,0.9849
"So Harvard is Asgard?




Asgard is not a place, its the people.",0.0
Congrats on 200K man! You deserve it!,0.6103
Cool! I am really impressed with Number five.,0.7614
man you're going places.,0.0
"Thank you John, you're one of my favorite YouTubers. You will be big here in Youtube with the content you have. From the Philippines",0.6705
Hi John! Will you restock the growth book (for international costumers)?,0.4389
Amazing backdrops on this one. Super insightful video as per usual too!😁,0.8398
"I am reading a book a week because of you, and I love it!!",0.6988
"John, it would be really cool, if you will film vlogs as well!!",0.6459
"I love all your  videos They are so inspiring . Even though it's not related to this video, I have a question about the college application process. I really want to know if gym scores matters. I know grades aren't the only thing that matters. However, I currently have a 65 in gym, but that doesn't count in my average. Other than that i have a 102 average.",0.6491
"Congrats on 200k subscribers!! It's crazy to see how much you've blown up because I've been subcribed since 90k, so congrats",0.7876
@johnfish what are the top values you care about?,0.7717
i recommend reading The Jazz of Physics (:,0.6908
"Ty for sharing I understand what your going through I've been there,",0.6597
"Great life lessons, John!",0.6588
"hey man, you know what would be a very interesting vlog? You talking about drug use in Harvard (I mean like aderall and that sort of things). Just an idea.",0.6697
Luke went to my high school last year!,0.0
Ur progress in your videos are highly visible u're really doing great in youtube  thank u for this!!! Wish u all the best johnn,0.9549
Very helpful video as I will join college next month 😃,0.6478
I’d love to know what Harvard students think of Lesley students!! Is there as much distain as people think there is? 😂,0.6988
"hey john if i could help you with bumping with your production value id suggest getting a rode video mic pro, the sound would be way better and is something i dont see on your amazon page!",0.8398
Huge fan of your content - keep it up!,0.5983
I love how positive and inspirational you are.  I'd love to hear what part faith plays in your journey.,0.9643
Are you done milking the harvard story bro? Nuff with the clickbait thumbnails lmao I also studied in harvard but at least i won't be making this much videos on harvard title  for sure lmao,0.8945
"Really good video, I definitely took that last tip to heart. Keep making videos!💞",0.7542
"You are really one of a kind person, so inspiring and unique",0.7755
"Well if we are the average of the five people we spend the most time with, then I'm trying to spend some time with you bro, #youknowatimsaying",0.2732
Your background or place changes with every lesson you give... amazing but cant figure out the importance #johnfish,0.6858
"I love the quality of the videos! 
what camera do you use man?",0.6696
I stan this video and everything in it,0.0
I love all of your personal development and self help videos! Very inspiration!,0.9038
Wow. Your wisdom blows my mind. That last one in particular touched my heart and gave me so much hope. Thank you. Congrats on year one of Harvard!,0.9504
"Oh my god, you have so cool courses!! Zehn buddhism!! So cool!!!",0.85
"Hey dude , I live in the Netherlands and I really want to thank you. You have helped me planning my homework and gave me new perspectives on what’s behind things going on.🙏👍keep going on.",0.5198
my eyes are watering from this one-sided staring contest,0.0
Thank u John Fish! U are so inspirational,0.7925
I see big things coming from John in next year Zuck was in his sophomore year when he founded Facebook. What will John make do in his sophomore year .,0.0
youre at 200k,0.0
You're growing sooo fast :D,0.694
Thanks♥️,0.0
"Can I just say I LOVE your videos! Especially because I just finished my freshmen year of college at UNC and can closely relate to a lot your content. I loved my freshmen year but I know I could do better. So thank you for being an inspiration. I understand you are not perfect, but your efforts to be the best version of yourself are definitely inspiring others, like myself. Keep up the good work.",0.9882
new subscriber here!! i found you very impressive keep up the good work 😃😃,0.7951
"how are you?   review around havard  Please.
Thank you bro.",0.5859
"Great videos, just finished freshman year and can totally relate.",0.6249
"I'm about to finish freshman year in a completely different country, and, obviously, at a completely different university, but it turns out the things that I figured out after the first year were extremely similar. Maybe it's something people in this age generally have to deal with. And that's why your videos are great. A lot of them are connected to your experience at Harvard, but the genuineness of it and breadth of your views must resonate with a much larger audience, as I see it.",0.7684
"If we are going to somewhere to search for meanings, direction play a crucial role.
John's lessons are OMEGA COMPLEXITY  COMPASS⌚😉",0.34
You inspire us all,0.5719
"John, you have quickly become one of my favorite YouTubers. Keep up the good videos!",0.7345
How is Zen Buddhism?,0.0
"""Harvard isn't great!"", bruh i hope you don't get sued or something ...lol",-0.4015
What are you studying?,0.0
Environment is so important. Who you surround yourself with and who you want to become,0.3952
"You're like the lovechild of Casey Neistat and Rory Gilmore. I'm sure that doesn't make sense to you, but it makes perfect sense to me! 😅",0.829
you're one of my favourite youtubers ever - your videos are so helpful and enjoyable and your 5th tip is so so true! I changed the people who I surround myself with this year and it literally changed my life,0.9008
